# New Recording 3.m4a

[00:00:00.000–00:00:05.000] 可能這首後期會印章大一點
[00:14:25.750–00:14:28.750] 有些是維修部
[00:14:28.750–00:14:30.750] 就是去收拾那些東西
[00:14:30.750–00:14:31.750] 吹乾
[00:14:31.750–00:14:32.750] 有些人就在後面
[00:14:32.750–00:14:33.750] 貼衣服
[00:14:33.750–00:14:34.750] 然後放這樣
[00:14:34.750–00:14:35.750] 好
[00:14:35.750–00:14:37.750] 我看到其實以前
[00:14:37.750–00:14:39.750] 在我教那兩年
[00:14:39.750–00:14:41.750] 他們都還在明君分班
[00:14:41.750–00:14:43.750] 但是今年開始就其實
[00:14:43.750–00:14:44.750] 就大陸一點的
[00:14:44.750–00:14:45.750] BCD
[00:14:45.750–00:14:46.750] 是的
[00:14:46.750–00:14:48.750] BCD 10回來
[00:14:48.750–00:14:50.750] 都是會比較多些秩序問題
[00:14:50.750–00:14:53.750] 而我們的過程
[00:14:53.750–00:14:54.750] 有時是會
[00:14:54.750–00:14:55.750] 老師和學生
[00:14:55.750–00:14:57.750] 進入了收拾室裡面
[00:14:57.750–00:15:01.750] 去做一些預備的功夫
[00:15:01.750–00:15:03.750] 外面的同學就
[00:15:03.750–00:15:04.750] 真的可能未必會
[00:15:04.750–00:15:06.750] 立刻會碰到他
[00:15:06.750–00:15:07.750] 那些東西
[00:15:07.750–00:15:08.750] 田櫻有分享一個方法
[00:15:08.750–00:15:09.750] 就是說
[00:15:09.750–00:15:10.750] 開個Zoom
[00:15:10.750–00:15:11.750] 開個Zoom
[00:15:11.750–00:15:13.750] 我就沒有做到這件事
[00:15:13.750–00:15:14.750] 我就兩邊走
[00:15:14.750–00:15:16.750] 總之就盡量
[00:15:16.750–00:15:18.750] Occupy他們每天
[00:15:18.750–00:15:19.750] 都有一些東西要是
[00:15:19.750–00:15:21.750] 就是手上要是做的
[00:15:21.750–00:15:23.750] 這個必須
[00:15:23.750–00:15:24.750] 或者我試過
[00:15:24.750–00:15:26.750] 就不在課堂上做
[00:15:26.750–00:15:28.750] 就真的找幾個幫手
[00:15:28.750–00:15:29.750] 放學整個網
[00:15:29.750–00:15:30.750] 我都試過的
[00:15:30.750–00:15:31.750] 就是這樣
[00:15:31.750–00:15:33.750] 後來我覺得控制到那些學生
[00:15:33.750–00:15:35.750] 我就在課堂就快一點
[00:15:35.750–00:15:36.750] 一次過去就知道
[00:15:36.750–00:15:37.750] 我做了什麼
[00:15:37.750–00:15:38.750] 知道成不成功
[00:15:38.750–00:15:39.750] 以前試過就是
[00:15:39.750–00:15:40.750] 不行就放學
[00:15:40.750–00:15:41.750] 我們幾個
[00:15:41.750–00:15:42.750] 我們在家裡做
[00:15:42.750–00:15:43.750] 就做到原來
[00:15:43.750–00:15:44.750] 我的功夫就在那裡
[00:15:44.750–00:15:46.750] 總之找幾個成小小組
[00:15:46.750–00:15:47.750] 是的
[00:15:47.750–00:15:48.750] 總有的
[00:15:48.750–00:15:49.750] 我最多就是試過
[00:15:49.750–00:15:50.750] 不是講一些語言給大家
[00:15:50.750–00:15:51.750] 試過一次
[00:15:51.750–00:15:52.750] 在學生室的時候
[00:15:52.750–00:15:53.750] 有些學生在外面
[00:15:53.750–00:15:55.750] 就怪運樹
[00:15:55.750–00:15:56.750] 運這些
[00:15:56.750–00:15:57.750] 做完一件事
[00:15:57.750–00:15:58.750] 坐在台底
[00:15:58.750–00:16:00.750] 被校長爬過去見到
[00:16:00.750–00:16:02.750] 他們怎麼坐在地上
[00:16:02.750–00:16:04.750] 總之就是
[00:16:04.750–00:16:05.750] 有這件事發生了
[00:16:05.750–00:16:06.750] 但是我覺得如果
[00:16:06.750–00:16:08.750] 人手上面可以有TA
[00:16:08.750–00:16:10.750] 或者都有老師來
[00:16:10.750–00:16:12.750] 去碰碰兩邊走的
[00:16:12.750–00:16:14.750] 控制一下狀況
[00:16:14.750–00:16:15.750] 我覺得會不會
[00:16:15.750–00:16:17.750] 都可以是一個速度
[00:16:17.750–00:16:18.750] 但是還要考慮
[00:16:18.750–00:16:20.750] 接下來的風格
[00:16:20.750–00:16:22.750] 班的組合是怎麼樣
[00:16:22.750–00:16:23.750] 我覺得這個都是一個
[00:16:23.750–00:16:25.750] 要留意的東西
[00:16:25.750–00:16:27.750] 就是繼續找A隔B是E
[00:16:27.750–00:16:28.750] 都是劇的
[00:16:28.750–00:16:29.750] 都會的
[00:16:29.750–00:16:30.750] 因為其實
[00:16:30.750–00:16:31.750] 同一時間
[00:16:31.750–00:16:32.750] 同一時間
[00:16:32.750–00:16:33.750] 很Core
[00:16:33.750–00:16:34.750] 就是做的東西在這裡
[00:16:34.750–00:16:35.750] 其實同學
[00:16:35.750–00:16:36.750] 就是你未必可能
[00:16:36.750–00:16:37.750] 馬上看到這麼多面的東西
[00:16:37.750–00:16:38.750] 就是完全都是繼續的
[00:16:38.750–00:16:39.750] 如果就是說
[00:16:39.750–00:16:40.750] 不穿衣服
[00:16:40.750–00:16:41.750] 會不會有考慮
[00:16:41.750–00:16:42.750] 譬如說我穿了一些布袋
[00:16:42.750–00:16:43.750] 一些拉鏈袋
[00:16:43.750–00:16:44.750] 用得的東西
[00:16:44.750–00:16:45.750] 袋子
[00:16:45.750–00:16:46.750] 就是whatever
[00:16:46.750–00:16:47.750] 穿上衣服
[00:16:47.750–00:16:48.750] 但至少會用得到的東西
[00:16:48.750–00:16:49.750] 我不知道
[00:16:49.750–00:16:50.750] 就是
[00:16:50.750–00:16:51.750] 我覺得穿東西
[00:16:51.750–00:16:52.750] 沒問題
[00:16:52.750–00:16:53.750] 最主要是
[00:16:53.750–00:16:54.750] 剛才提到的
[00:16:54.750–00:16:55.750] 就是穿上衣服
[00:16:55.750–00:16:56.750] 穿上衣服
[00:16:56.750–00:16:57.750] 穿上衣服
[00:16:57.750–00:16:58.750] 穿上衣服
[00:16:58.750–00:16:59.750] 穿上衣服
[00:16:59.750–00:17:00.750] 穿上衣服
[00:17:00.750–00:17:01.750] 穿上衣服
[00:17:01.750–00:17:02.750] 穿上衣服
[00:17:02.750–00:17:03.750] 穿上衣服
[00:17:03.750–00:17:04.750] 穿上衣服
[00:17:04.750–00:17:05.750] 穿上衣服
[00:17:05.750–00:17:06.750] 穿上衣服
[00:17:07.750–00:17:08.710] 多少
[00:17:08.710–00:17:10.750] 很毛
[00:17:10.750–00:17:11.750] 很毛
[00:17:11.750–00:17:12.750] 很毛
[00:17:12.750–00:17:16.750] cortex
[00:17:16.750–00:17:17.750] sensor
[00:17:17.750–00:17:18.750] 清潔
[00:17:18.750–00:17:19.750] 清潔
[00:17:19.750–00:17:20.750] 清潔
[00:17:20.750–00:17:21.750] notch
[00:17:21.750–00:17:30.750] Ford
[00:17:30.750–00:17:31.730] 有Skin
[00:17:31.730–00:17:34.730] 有些人喜歡幫忙,總之你沒有幫忙的那些,
[00:17:34.730–00:17:38.730] 或者你幫了忙,你都是要去其它台,
[00:17:38.730–00:17:41.730] 我設定了一些東西,你可以印paper的,
[00:17:41.730–00:17:44.730] 我是有,除了生意,我就印paper給你,
[00:17:44.730–00:17:47.730] 去體驗一下,你喜歡怎樣玩都可以,
[00:17:47.730–00:17:50.730] 我已經給了一些顏料,你去印吧,
[00:17:50.730–00:17:53.730] 那些印ground也不要緊,你給你test也不要緊,
[00:17:53.730–00:17:56.730] 你去試試看,你覺得怎樣玩都可以,
[00:17:56.730–00:17:59.730] 我已經給了一些顏料,你去印吧,
[00:17:59.730–00:18:03.730] 你給你test也不要緊,我就預備了這些給他們去試,
[00:18:03.730–00:18:08.730] 當然我監管不到是不是每個人,
[00:18:08.730–00:18:11.730] 但是基本上我都看到他們有一張紙在做,
[00:18:11.730–00:18:15.730] 而那些可以拿來沙的,就可以entertain到他們的時間,
[00:18:15.730–00:18:18.730] 我那時候的課程是這樣安排的,
[00:18:18.730–00:18:23.730] 我也有這樣安排的,他們就真的拉拉就已經完了試驗,
[00:18:23.730–00:18:26.730] 所以其實那兩堂是要一眼觀察,
[00:18:26.730–00:18:28.730] 看得到同時間發生什麼事,
[00:18:28.730–00:18:29.730] 有時候我看到他們的課程,
[00:18:29.730–00:18:34.730] 我覺得很enjoy,我們這些課程不是中英數死板板的,
[00:18:34.730–00:18:35.730] 一定要坐在那裡的,
[00:18:35.730–00:18:38.730] 我覺得這個好像很混亂之中,
[00:18:38.730–00:18:40.730] 你又看到一些東西出來,
[00:18:40.730–00:18:44.730] 我又覺得是,我不知道我自己有時候,
[00:18:44.730–00:18:47.730] 這個課程也挺不容易的,
[00:18:47.730–00:18:50.730] 當然有它的難度在那裡,
[00:18:50.730–00:18:51.730] 真的是壓力的,
[00:18:51.730–00:18:52.730] 好像見罪傷,
[00:18:52.730–00:18:53.730] 對,
[00:18:53.730–00:18:55.730] 剛拉到2A的時候,
[00:18:55.730–00:18:57.730] 2A是沒有問題的,
[00:18:57.730–00:18:58.730] 這個運作很厲害,
[00:18:58.730–00:19:00.730] 這個運作很厲害,
[00:19:00.730–00:19:06.730] 那時候可以再在人手上練習一下,
[00:19:06.730–00:19:08.730] 不過下年應該會紅一點,
[00:19:08.730–00:19:09.730] 今年的課程,
[00:19:09.730–00:19:11.730] 對,今年的課程醒了很多,
[00:19:11.730–00:19:12.730] 我想說真的醒了上來,
[00:19:12.730–00:19:13.730] 醒了我就不知道了,
[00:19:13.730–00:19:16.730] 整個學理和這班課程是靚的課程,
[00:19:16.730–00:19:17.730] 超好上來的,
[00:19:17.730–00:19:19.730] 上來是蠢蠢的,
[00:19:19.730–00:19:21.730] 對,今年的課程醒了,
[00:19:21.730–00:19:22.730] 今年的課程是快的,
[00:19:22.730–00:19:27.730] 我覺得我的意思也不是說整個課堂是否不印,
[00:19:27.730–00:19:28.730] 而是給個option,
[00:19:28.730–00:19:30.730] 班主任你會不會考慮,
[00:19:30.730–00:19:32.730] 你今年印不印,
[00:19:32.730–00:19:35.730] 如果印,你可以給我印,
[00:19:35.730–00:19:37.730] 我們可以幫你做主任,
[00:19:37.730–00:19:38.730] 但其實不是,
[00:19:38.730–00:19:41.730] 但還不是說你一定要給我印,
[00:19:41.730–00:19:42.730] 不是這樣,
[00:19:42.730–00:19:44.730] 而是我們的課堂會做這件事,
[00:19:44.730–00:19:46.730] 所以你們就,
[00:19:46.730–00:19:47.730] 這個是課程來的,
[00:19:47.730–00:19:50.730] 所以班主任你們就不用印了,
[00:19:50.730–00:19:53.730] 不是班主任想我們幫你印,
[00:19:53.730–00:19:54.730] 是我們的課程,
[00:19:54.730–00:19:55.730] 我們會做這件事,
[00:19:55.730–00:19:56.730] 所以你不用特別去做,
[00:19:56.730–00:19:58.730] 不用特別去生一件東西,
[00:19:58.730–00:20:00.730] 要他再做班衫,
[00:20:00.730–00:20:02.730] 我的意思是,
[00:20:02.730–00:20:04.730] 不是他不用印,
[00:20:04.730–00:20:06.730] 我覺得是應該有option給他選,
[00:20:06.730–00:20:08.730] 如果你想讓他印,
[00:20:08.730–00:20:09.730] 沒問題,
[00:20:09.730–00:20:10.730] 不過我們都會印這些東西的,
[00:20:10.730–00:20:11.730] 你可以找我們幫忙,
[00:20:11.730–00:20:12.730] 但你不印,
[00:20:12.730–00:20:13.730] 我也很優惠,
[00:20:13.730–00:20:15.730] 因為我們都會印其他東西的,
[00:20:15.730–00:20:18.730] 但現在是課務一定要印,
[00:20:18.730–00:20:21.730] 因為我們的課程是做班衫的,
[00:20:21.730–00:20:23.730] 就是製作出來,
[00:20:23.730–00:20:25.730] 又施網整個班衫,
[00:20:25.730–00:20:27.730] 而那個班衫就是一個product,
[00:20:27.730–00:20:28.730] 他們去做,
[00:20:28.730–00:20:29.730] 展現出來,
[00:20:29.730–00:20:30.730] 所以是因為這件事,
[00:20:30.730–00:20:33.730] 所以那些班就不用再做班衫了,
[00:20:33.730–00:20:34.730] 不是到回頭,
[00:20:34.730–00:20:37.730] 是班主任要求我們幫他去印這件事,
[00:20:37.730–00:20:42.730] 就是和可能你們ICT做那些逼步是不一樣,
[00:20:42.730–00:20:43.730] 就是你們設計完逼步,
[00:20:43.730–00:20:44.730] 我可以幫你,
[00:20:44.730–00:20:45.730] 或者你可以做還是不做,
[00:20:45.730–00:20:47.730] 我們不是這個想法,
[00:20:47.730–00:20:48.730] 而是我們的課程,
[00:20:48.730–00:20:52.730] 有一系列由設計去到施網去製作,
[00:20:52.730–00:20:53.730] 再進入那個product,
[00:20:53.730–00:20:54.730] 我們是一個課程,
[00:20:54.730–00:20:55.730] 我們是一個聯繫,
[00:20:55.730–00:20:59.730] 我們到最後是想用這個product去展現那個成品,
[00:20:59.730–00:21:01.730] 而讓到同學有一個,
[00:21:01.730–00:21:03.730] 即是學到一個價值觀是團結,
[00:21:03.730–00:21:06.730] 那一個團結的精神展現了出來,
[00:21:06.730–00:21:09.730] 所以我們就用這件事,
[00:21:09.730–00:21:12.730] 而班主任其實沒有角色在裏面,
[00:21:12.730–00:21:15.730] 我們不需要有班主任的參與,
[00:21:15.730–00:21:17.730] 只不過印班衫,
[00:21:17.730–00:21:19.730] 我們順便印給班主任,
[00:21:19.730–00:21:20.730] 送那兩件給他,
[00:21:20.730–00:21:22.730] 這樣處理,
[00:21:22.730–00:21:23.730] 不關班主任的事,
[00:21:23.730–00:21:25.730] 就沒有同學的影響,
[00:21:25.730–00:21:28.730] 這件事是因為我們要放進去to buy list,
[00:21:28.730–00:21:30.730] 那個購物廟裏面,
[00:21:30.730–00:21:32.730] 其實就不能說這班選擇買還是不買,
[00:21:32.730–00:21:33.730] 這樣就太遲了,
[00:21:33.730–00:21:35.730] 其實我們一開行就要出購物廟,
[00:21:35.730–00:21:36.730] 所以基本上,
[00:21:36.730–00:21:37.730] 即是一是幫群買,
[00:21:37.730–00:21:38.730] 一是幫群不買,
[00:21:38.730–00:21:39.730] 是全級的製造,
[00:21:39.730–00:21:40.730] 就不會A班買B班,
[00:21:40.730–00:21:41.730] C班D班不買,
[00:21:41.730–00:21:43.730] 亦都沒有時間讓他舉手買還是不買,
[00:21:43.730–00:21:44.730] 所以這個一定沒有想,
[00:21:44.730–00:21:46.730] 我都覺得是有不同的一個課程,
[00:21:46.730–00:21:48.730] 裏面其實就是一個process,
[00:21:48.730–00:21:50.730] 那個process由design開始,
[00:21:50.730–00:21:51.730] 由他畫logo,
[00:21:51.730–00:21:52.730] 由他投票,
[00:21:52.730–00:21:53.730] 整個過程,
[00:21:53.730–00:21:54.730] 去到最後這件事,
[00:21:54.730–00:21:55.730] 他就要穿上身了,
[00:21:55.730–00:21:56.730] 不過由你翻轉,
[00:21:56.730–00:21:58.730] 你說穿上身危機大了,
[00:21:58.730–00:21:59.730] 我就退一步了,
[00:21:59.730–00:22:01.730] 如果你說不印T-shirt,
[00:22:01.730–00:22:02.730] 可能要穿上身,
[00:22:02.730–00:22:03.730] 如果需要穿不到,
[00:22:03.730–00:22:04.730] 會變成一個筆袋呢,
[00:22:04.730–00:22:05.730] 或者一個布袋呢,
[00:22:05.730–00:22:06.730] 我覺得可以談的,
[00:22:06.730–00:22:07.730] 就是他穿,
[00:22:07.730–00:22:08.730] 都是有一件成品,
[00:22:08.730–00:22:09.730] 人人都有這個成品,
[00:22:09.730–00:22:11.730] 他是可以開心一起用這件事的,
[00:22:11.730–00:22:14.730] 我覺得都是一個可以談的,
[00:22:14.730–00:22:15.730] 即不是T-shirt都是,
[00:22:15.730–00:22:17.730] 不過一T-shirt就是機能,
[00:22:17.730–00:22:19.730] 就真的用得了,
[00:22:19.730–00:22:20.730] 某程度上,
[00:22:20.730–00:22:21.730] 如果不是,
[00:22:21.730–00:22:22.730] 需要實用到,
[00:22:22.730–00:22:23.730] 不會浪費,
[00:22:23.730–00:22:24.730] 因為像筆袋,
[00:22:24.730–00:22:25.730] 什麼袋,
[00:22:25.730–00:22:26.730] 其實可以穿在第一位座,
[00:22:26.730–00:22:27.730] 或者塞了垃圾盤,
[00:22:27.730–00:22:28.730] 那T-shirt呢,
[00:22:28.730–00:22:29.730] 我們可以一起穿,
[00:22:29.730–00:22:30.730] 他就沒得選了,
[00:22:30.730–00:22:31.730] 多噁心穿的,
[00:22:31.730–00:22:32.730] 那好吧,
[00:22:32.730–00:22:33.730] 用心印好一點,
[00:22:33.730–00:22:34.730] Mrs.不行,
[00:22:34.730–00:22:35.730] Mrs.幫我印,
[00:22:35.730–00:22:36.730] 誰幫我印,
[00:22:36.730–00:22:37.730] 我想他起碼,
[00:22:37.730–00:22:38.730] 為了自己穿著這件衣服,
[00:22:38.730–00:22:39.730] 我會拜他,
[00:22:39.730–00:22:41.730] 自己印自己的,
[00:22:41.730–00:22:42.730] 你真的不敢Mrs.
[00:22:42.730–00:22:43.730] 幫我拉拉呢,
[00:22:43.730–00:22:44.730] 我覺得他起碼,
[00:22:44.730–00:22:45.730] 為了自己穿上身,
[00:22:45.730–00:22:46.730] 不要太陽衰,
[00:22:46.730–00:22:47.730] 都肯,
[00:22:47.730–00:22:48.730] 至少他整個課堂,
[00:22:48.730–00:22:49.730] 沒有參與,
[00:22:49.730–00:22:50.730] 設計很差也好,
[00:22:50.730–00:22:51.730] 他那一下,
[00:22:51.730–00:22:52.730] 都叫他出了一下力,
[00:22:52.730–00:22:53.730] 叫團結過一下,
[00:22:53.730–00:22:54.730] 我又覺得,
[00:22:54.730–00:22:55.730] 都可以再試的,
[00:22:55.730–00:22:56.730] 但是你說Dee Joy,
[00:22:56.730–00:22:57.730] 我認同的,
[00:22:57.730–00:22:58.730] 進了客房,
[00:22:58.730–00:22:59.730] 其他人外面看不到,
[00:22:59.730–00:23:00.730] 都是一個危機,
[00:23:00.730–00:23:01.730] 沒有的,
[00:23:01.730–00:23:02.730] 現在都是我,
[00:23:02.730–00:23:03.730] 我進了客房,
[00:23:03.730–00:23:04.730] 我知道,
[00:23:04.730–00:23:05.730] 怎樣,
[00:23:05.730–00:23:06.730] 你放學自己玩,
[00:23:06.730–00:23:07.730] 他連拉一拉都沒有,
[00:23:07.730–00:23:08.730] 他有拉一拉,
[00:23:08.730–00:23:09.730] 但是你做慢的過程,
[00:23:09.730–00:23:10.730] 我們自己做的,
[00:23:10.730–00:23:11.730] 也是,
[00:23:11.730–00:23:12.730] 因為最穩陣,
[00:23:12.730–00:23:13.730] 最可以趕得及的時間,
[00:23:13.730–00:23:14.730] 就是我們自己做的,
[00:23:14.730–00:23:15.730] 因為最穩陣,
[00:23:15.730–00:23:16.730] 最可以趕得及的時間,
[00:23:16.730–00:23:17.730] 就是我們自己做的,
[00:23:17.730–00:23:18.730] 所以趕得及的時間,
[00:23:18.730–00:23:19.730] 就是我們自己做的,
[00:23:19.730–00:23:20.730] 就是我們自己做的,
[00:23:20.730–00:23:21.730] 而且你可能要課堂的,
[00:23:21.730–00:23:23.730] 如果真的Sports Day好做,
[00:23:23.730–00:23:24.730] 你一開始就做這課,
[00:23:24.730–00:23:25.730] 你一開始就做這課,
[00:23:25.730–00:23:26.730] 你一開始就做這課,
[00:23:26.730–00:23:27.730] 不要先做第一課,
[00:23:27.730–00:23:28.730] 一開始就做Local Design,
[00:23:28.730–00:23:29.730] 這個是第一課,
[00:23:29.730–00:23:30.730] 這個是第一課,
[00:23:30.730–00:23:31.730] 那就比較快一點,
[00:23:31.730–00:23:32.730] 對,
[00:23:32.730–00:23:33.730] Local Design幫他,
[00:23:33.730–00:23:34.730] 幫他做的,
[00:23:34.730–00:23:35.730] AI Design,
[00:23:35.730–00:23:36.730] 總之,
[00:23:36.730–00:23:37.730] 有些東西可以剪掉,
[00:23:37.730–00:23:38.730] 剪少許,
[00:23:38.730–00:23:39.730] 找快一點,
[00:23:39.730–00:23:40.730] 令到事情追趕,
[00:23:40.730–00:23:41.730] 我們不知道下一天什麼時候,
[00:23:41.730–00:23:42.730] 三、四個月都頂,
[00:23:42.730–00:23:43.730] 現在是關節,
[00:23:43.730–00:23:44.730] 所以看時間,
[00:23:44.730–00:23:45.730] 看送承,
[00:23:47.730–00:23:48.730] 已經問你昨天要買什麼了,
[00:23:48.730–00:23:50.730] 所以其實我們已經要決定,
[00:23:50.730–00:23:52.730] 就不在下年才決定,
[00:23:52.730–00:23:53.730] 不過,
[00:23:53.730–00:23:54.730] 我可以給個小說安心一點,
[00:23:54.730–00:23:55.730] 我覺得真的今年的方案,
[00:23:55.730–00:23:56.730] 就算真的玩A格,
[00:23:56.730–00:23:57.730] B、C、D,
[00:23:57.730–00:23:59.730] 怎樣都應該好過今年的,
[00:23:59.730–00:24:00.730] 怎樣都好過,
[00:24:00.730–00:24:01.730] 當然是A、B、C、D的,
[00:24:01.730–00:24:02.730] 我相信,
[00:24:02.730–00:24:03.730] 對,
[00:24:03.730–00:24:04.730] 今年的那一屆,
[00:24:04.730–00:24:05.730] 我覺得挺不錯的,
[00:24:05.730–00:24:06.730] 好一點點的,
[00:24:06.730–00:24:07.730] 那麼,
[00:24:07.730–00:24:08.730] 人力資源那裡,
[00:24:08.730–00:24:09.730] 可以問,
[00:24:09.730–00:24:10.730] 就是例如,
[00:24:10.730–00:24:11.730] 因為我覺得都是一個Concern來的,
[00:24:11.730–00:24:12.730] 因為真的會帶著一組人,
[00:24:12.730–00:24:13.730] 進了房間,
[00:24:13.730–00:24:15.730] 真的怎樣都想開心到,
[00:24:15.730–00:24:16.730] 我都不會看得到,
[00:24:16.730–00:24:17.730] 外面的人,
[00:24:17.730–00:24:18.730] 都很聰明的,
[00:24:18.730–00:24:19.730] 那麼,
[00:24:19.730–00:24:20.730] 在這個安全之下,
[00:24:20.730–00:24:21.730] 我覺得我會,
[00:24:21.730–00:24:22.730] 可以上去Request,
[00:24:22.730–00:24:23.730] 有一個TA,
[00:24:23.730–00:24:24.730] 幫我看一看,
[00:24:24.730–00:24:25.730] 外面的同行,
[00:24:25.730–00:24:26.730] 因為我們要在裡面,
[00:24:26.730–00:24:27.730] 做一些好好,
[00:24:27.730–00:24:28.730] 很細緻的事情,
[00:24:28.730–00:24:29.730] 那麼,
[00:24:29.730–00:24:30.730] 我覺得這個可以試一下Request,
[00:24:30.730–00:24:31.730] 即是逢教堂,
[00:24:31.730–00:24:32.730] 知道有同事,
[00:24:32.730–00:24:33.730] 或者逢是會這樣,
[00:24:33.730–00:24:34.730] Process什麼時候的,
[00:24:34.730–00:24:35.730] 我們都可以Request,
[00:24:35.730–00:24:36.730] 這樣而已,
[00:24:36.730–00:24:37.730] 那麼,
[00:24:37.730–00:24:38.730] 我都可以要求的,
[00:24:38.730–00:24:39.730] 申請一下,
[00:24:39.730–00:24:40.730] 就是這樣,
[00:24:40.730–00:24:41.730] 那麼,
[00:24:41.730–00:24:42.730] 當然啦,
[00:24:42.730–00:24:43.730] 大家如果想移座,
[00:24:43.730–00:24:44.730] 那當然是好,
[00:24:44.730–00:24:45.730] 那麼,
[00:24:45.730–00:24:46.730] 也可以移座完,
[00:24:46.730–00:24:47.730] 問一下,
[00:24:47.730–00:24:48.730] 就請一下,
[00:24:48.730–00:24:49.730] 即是,
[00:24:49.730–00:24:50.730] 是的,
[00:24:50.730–00:24:51.730] 逢這個單元,
[00:24:51.730–00:24:52.730] 我們需要兩個人手,
[00:24:52.730–00:24:53.730] 一去這個單元,
[00:24:53.730–00:24:54.730] 印衫,
[00:24:54.730–00:24:55.730] 或是哪個單位,
[00:24:55.730–00:24:56.730] 一定要三堂,
[00:24:56.730–00:24:57.730] 我們需要,
[00:24:57.730–00:24:58.730] 那可能一人分一堂,
[00:24:58.730–00:24:59.730] 就不用,
[00:24:59.730–00:25:00.730] 我們代小,
[00:25:00.730–00:25:01.730] 外面一堂,
[00:25:01.730–00:25:02.730] 所以代一堂,
[00:25:02.730–00:25:03.730] 這樣可以嗎,
[00:25:03.730–00:25:04.730] 挺不錯的,
[00:25:04.730–00:25:05.730] 是不是也好,
[00:25:05.730–00:25:06.730] 大家都愛,
[00:25:06.730–00:25:07.730] 當然好,
[00:25:07.730–00:25:08.730] 當然好,
[00:25:08.730–00:25:09.730] 當然好,
[00:25:09.730–00:25:10.730] 你們去幫,
[00:25:10.730–00:25:11.730] 一定是專業一點,
[00:25:11.730–00:25:12.730] 即是外面去幫他們,
[00:25:12.730–00:25:13.730] 試印,
[00:25:13.730–00:25:14.730] 都是一個學習過程,
[00:25:14.730–00:25:15.730] 那我覺得,
[00:25:15.730–00:25:16.730] 會不會就是,
[00:25:16.730–00:25:17.730] 逢這個單元,
[00:25:17.730–00:25:18.730] 就叫做,
[00:25:18.730–00:25:19.730] P&P,
[00:25:19.730–00:25:20.730] 即是兩個人一起教,
[00:25:20.730–00:25:21.730] 好,
[00:25:21.730–00:25:22.730] 我們就要做,
[00:25:22.730–00:25:23.730] 教這個單元,
[00:25:23.730–00:25:24.730] 某幾堂,
[00:25:24.730–00:25:25.730] 這樣,
[00:25:25.730–00:25:26.730] 因為我覺得,
[00:25:26.730–00:25:27.730] 人事upward,
[00:25:27.730–00:25:28.730] 真的需要,
[00:25:28.730–00:25:29.730] 不是一個人去處理,
[00:25:29.730–00:25:30.730] 可以減堂嗎,
[00:25:30.730–00:25:31.730] 不是減堂,
[00:25:31.730–00:25:32.730] 不是,
[00:25:32.730–00:25:33.730] 是代堂,
[00:25:33.730–00:25:34.730] 當代了堂,
[00:25:34.730–00:25:35.730] 但是要借多少,
[00:25:35.730–00:25:36.730] 有,
[00:25:36.730–00:25:37.730] 我們呢,
[00:25:37.730–00:25:38.730] 其實,
[00:25:38.730–00:25:39.730] 你們沒有代過堂,
[00:25:39.730–00:25:40.730] 這個我有代過的,
[00:25:40.730–00:25:41.730] 沒有,
[00:25:41.730–00:25:42.730] 我沒什麼請假的,
[00:25:42.730–00:25:43.730] 我也要代堂,
[00:25:43.730–00:25:44.730] 為什麼,
[00:25:44.730–00:25:45.730] 我覺得有個情況,
[00:25:45.730–00:25:46.730] 我們三個,
[00:25:46.730–00:25:47.730] 是不能共存,
[00:25:47.730–00:25:48.730] 要想堂的時候,
[00:25:48.730–00:25:49.730] 所以,
[00:25:49.730–00:25:50.730] 你就會off,
[00:25:50.730–00:25:51.730] 當他沒事的時候,
[00:25:51.730–00:25:52.730] 你,
[00:25:52.730–00:25:53.730] 一是在教英文,
[00:25:53.730–00:25:54.730] 一是在共堂,
[00:25:54.730–00:25:55.730] 那有機會,
[00:25:55.730–00:25:56.730] 全人都會上堂,
[00:25:56.730–00:25:57.730] 如果是這樣的話,
[00:25:57.730–00:25:58.730] 那就,
[00:25:58.730–00:25:59.730] 就會八堂,
[00:25:59.730–00:26:00.730] 九堂,
[00:26:00.730–00:26:01.730] 踢就踢,
[00:26:01.730–00:26:02.730] 不踢的話,
[00:26:02.730–00:26:03.730] 就是TA幫忙,
[00:26:03.730–00:26:04.730] 但是,
[00:26:04.730–00:26:05.730] 如果我們踢了,
[00:26:05.730–00:26:06.730] 問他可不可以,
[00:26:06.730–00:26:07.730] 我們減堂,
[00:26:07.730–00:26:08.730] 我們本身就知道,
[00:26:08.730–00:26:09.730] 那個流程,
[00:26:09.730–00:26:10.730] 是,
[00:26:10.730–00:26:11.730] 我想你們上堂的作用,
[00:26:11.730–00:26:12.730] 一定大部分,
[00:26:12.730–00:26:13.730] 在那邊放,
[00:26:13.730–00:26:14.730] TA幫忙,
[00:26:14.730–00:26:15.730] 有愛好過無敬,
[00:26:15.730–00:26:16.730] 我上去最多,
[00:26:16.730–00:26:17.730] 有愛好敬,
[00:26:17.730–00:26:18.730] 坐在咪高峰,
[00:26:18.730–00:26:19.730] 不要走,
[00:26:19.730–00:26:20.730] 全部都做這些,
[00:26:20.730–00:26:21.730] 你們就可以真的救到他,
[00:26:21.730–00:26:22.730] 全面可以有其他的,
[00:26:22.730–00:26:23.730] 即是extend的東西,
[00:26:23.730–00:26:25.730] 我們一眼看到,
[00:26:25.730–00:26:26.730] 寫下,
