# New Recording 2.m4a

[00:00:00.000–00:00:02.000] 但是可能這部份已經成為
[00:14:09.040–00:14:10.040] 那一件事
[00:14:10.040–00:14:12.040] 通常都會照樣繼續發生
[00:14:12.040–00:14:14.040] 第三天照樣也會照樣
[00:14:14.040–00:14:17.040] 所以暫時這個情況就是這樣
[00:14:17.040–00:14:19.040] 但是我都有跟國民問
[00:14:19.040–00:14:21.040] 如果真真真是很想切斷
[00:14:21.040–00:14:22.040] 都可以嗎
[00:14:22.040–00:14:24.040] 或者再問一下其他部門
[00:14:24.040–00:14:27.040] 如果我們真的覺得強烈要求
[00:14:27.040–00:14:29.040] 很想真的用一天去練歌
[00:14:29.040–00:14:30.040] 跟著一天
[00:14:30.040–00:14:31.040] 不是要放假
[00:14:31.040–00:14:32.040] 因為他不可以這樣
[00:14:32.040–00:14:33.040] 不是
[00:14:33.040–00:14:34.040] 不是放假
[00:14:34.040–00:14:35.040] 我上次的意思是
[00:14:35.040–00:14:36.040] 上次不是放假
[00:14:36.040–00:14:37.040] 我的意思是
[00:14:37.040–00:14:40.040] 譬如初中就回第一天
[00:14:40.040–00:14:42.040] 高中就回第二天
[00:14:42.040–00:14:44.040] 這樣也是由人翻學的
[00:14:44.040–00:14:45.040] 我要翻學
[00:14:45.040–00:14:46.040] 不能隔著
[00:14:46.040–00:14:48.040] 不能初中第一天
[00:14:48.040–00:14:49.040] 初高中第一天
[00:14:49.040–00:14:51.040] 因為事後活動
[00:14:51.040–00:14:53.040] 譬如阿蘇你都試過是這樣
[00:14:53.040–00:14:54.040] 他說現在研究
[00:14:54.040–00:14:55.040] 國民也是這樣
[00:14:55.040–00:14:56.040] 所以他就說
[00:14:56.040–00:14:58.040] 總之要有人承擔那一天
[00:14:58.040–00:15:00.040] 如果我不會要初中
[00:15:00.040–00:15:01.040] 那高中怎麼辦
[00:15:01.040–00:15:02.040] 高中就要找另一個部門
[00:15:02.040–00:15:03.040] 整個一天
[00:15:03.040–00:15:04.040] 這樣才可以
[00:15:04.040–00:15:05.040] 不是我的活動
[00:15:05.040–00:15:06.040] off的活動
[00:15:06.040–00:15:07.040] 但不是off的學生
[00:15:07.040–00:15:09.040] 不能off學生
[00:15:09.040–00:15:11.040] 他那天跟我說這樣
[00:15:11.040–00:15:12.040] 所以他說
[00:15:12.040–00:15:13.040] 如果大家真的覺得好
[00:15:13.040–00:15:14.040] 就off那些學生
[00:15:14.040–00:15:15.040] 例如
[00:15:15.040–00:15:16.040] 原來那個時間太多
[00:15:16.040–00:15:18.040] 我只是想off學生
[00:15:18.040–00:15:19.040] 那他就要把這件事
[00:15:19.040–00:15:20.040] 拿回A會期
[00:15:20.040–00:15:21.040] 看看有沒有其他部門
[00:15:21.040–00:15:23.040] 願意批那班學生
[00:15:23.040–00:15:24.040] 例如
[00:15:24.040–00:15:26.040] 第一天是我初中
[00:15:26.040–00:15:28.040] 那高中就未一定是我
[00:15:28.040–00:15:29.040] 第二天就我高中
[00:15:29.040–00:15:31.040] 初中就未一定是第二天
[00:15:31.040–00:15:33.040] 跟著第三天就沒有了
[00:15:33.040–00:15:35.040] 他說是可以的
[00:15:35.040–00:15:38.040] 但就要拿出來去他們的家
[00:15:38.040–00:15:40.040] 談完還有人願意承擔
[00:15:40.040–00:15:41.040] 但當然他那天就說
[00:15:41.040–00:15:42.040] 如果現在才拿出來
[00:15:42.040–00:15:44.040] 現在三月多四月了
[00:15:44.040–00:15:45.040] 那就應該有點難了
[00:15:45.040–00:15:46.040] 所以他說
[00:15:46.040–00:15:49.040] 如果今年應該沒有人要承擔
[00:15:49.040–00:15:50.040] 但真的很有這個想法
[00:15:50.040–00:15:52.040] 他可以提議這件事
[00:15:52.040–00:15:53.040] 下年發生
[00:15:53.040–00:15:54.040] 但我問了他
[00:15:54.040–00:15:55.040] 可不可以off學生
[00:15:55.040–00:15:56.040] 那一天又不上學
[00:15:56.040–00:15:58.040] 他說是沒有的
[00:15:58.040–00:16:00.040] 是沒有這個option的
[00:16:00.040–00:16:01.040] 他就這樣回答他
[00:16:01.040–00:16:02.040] 但沒有這個option
[00:16:02.040–00:16:04.040] 如果大家仍有其他查詢
[00:16:04.040–00:16:05.040] 可以
[00:16:05.040–00:16:07.040] 我等一下再帶這個問題給他
[00:16:07.040–00:16:09.040] 跟著就再請他回應
[00:16:09.040–00:16:10.040] 或者下次看看
[00:16:10.040–00:16:11.040] 怎樣再回答大家
[00:16:11.040–00:16:12.040] 因為今年應該就變不到了
[00:16:12.040–00:16:13.040] 我相信
[00:16:13.040–00:16:15.040] 今年四月才下地獄
[00:16:15.040–00:16:18.040] 三級兩級都應該難的
[00:16:18.040–00:16:20.040] 所以今年他就說
[00:16:20.040–00:16:21.040] 你今年這個月就先
[00:16:21.040–00:16:22.040] 如果真的覺得
[00:16:22.040–00:16:23.040] 很需要
[00:16:23.040–00:16:24.040] 由初中或高中
[00:16:24.040–00:16:25.040] 休息一天
[00:16:25.040–00:16:26.040] 五天
[00:16:26.040–00:16:27.040] 就可以再
[00:16:27.040–00:16:29.040] 下年的時候處理
[00:16:29.040–00:16:30.040] 大家可以這樣想
[00:16:30.040–00:16:31.040] 要不然我等一下會問他
[00:16:31.040–00:16:34.040] 跟著就請國民回應一下
[00:16:34.040–00:16:36.040] 這個可以怎樣處理
[00:16:36.040–00:16:38.040] 下年的時候
[00:16:38.040–00:16:41.480] 怎樣
[00:16:41.480–00:16:42.480] 好
[00:16:42.480–00:16:43.480] 大家想現在討論嗎
[00:16:43.480–00:16:47.480] 還是第三個會先決定這件事
[00:16:47.480–00:16:48.480] 現在都沒得改
[00:16:48.480–00:16:49.480] 現在討論
[00:16:49.480–00:16:50.480] 所以現在聽聽下
[00:16:50.480–00:16:52.480] 現在三個會先再研討
[00:16:52.480–00:16:53.480] 第三個會先再研討
[00:16:53.480–00:16:54.480] 好嗎
[00:16:54.480–00:16:55.480] 好
[00:16:55.480–00:16:56.480] 我們繼續討論
[00:16:56.480–00:16:57.480] 所以如果用
[00:16:57.480–00:16:58.480] 三個會先
[00:16:58.480–00:16:59.480] 三十個會先
[00:16:59.480–00:17:00.480] 討論完之後就比賽
[00:17:00.480–00:17:01.480] 其實那時候沒有討論過
[00:17:01.480–00:17:02.480] 那天你看
[00:17:02.480–00:17:03.480] 我剛剛被拒絕了
[00:17:03.480–00:17:04.480] 我剛剛被拒絕了上年
[00:17:04.480–00:17:06.480] 上年六年
[00:17:06.480–00:17:08.480] 就是我女兒最後
[00:17:08.480–00:17:09.480] 對
[00:17:09.480–00:17:10.480] 因為她已經起床了
[00:17:10.480–00:17:12.480] 其實也是少了班長時間
[00:17:12.480–00:17:13.480] 在上年期間
[00:17:13.480–00:17:15.480] 半個小時做完所有事情
[00:17:15.480–00:17:17.480] 其實不是真的討論過
[00:17:17.480–00:17:18.480] 但還是要討論過
[00:17:18.480–00:17:19.480] 因為多了時間
[00:17:19.480–00:17:21.480] 報告和免費的
[00:17:21.480–00:17:24.480] 那些時間其實要準備
[00:17:24.480–00:17:25.480] 她最討論過的
[00:17:25.480–00:17:26.480] 就是她的樣子也好
[00:17:26.480–00:17:27.480] 她自己的時間
[00:17:27.480–00:17:30.480] 所以不是很亂
[00:17:30.480–00:17:32.480] 頭兩天討論完就可以了
[00:17:32.480–00:17:35.480] 如果想看大概的
[00:17:35.480–00:17:37.480] 我可以看回上年的報告
[00:17:37.480–00:17:38.480] 大家都可以看一看
[00:17:38.480–00:17:39.480] 看看有沒有什麼意見
[00:17:39.480–00:17:40.480] 另外就因為
[00:17:40.480–00:17:42.480] 講開班課
[00:17:42.480–00:17:44.480] 上年的報告大家都會看到
[00:17:44.480–00:17:45.480] 最爛的一個
[00:17:45.480–00:17:48.480] 因為有些級別
[00:17:48.480–00:17:50.480] 是需要處理分分決
[00:17:50.480–00:17:53.480] 就是行與教的分分決
[00:17:53.480–00:17:55.480] 這個也是要做的
[00:17:55.480–00:17:56.480] 另外就是
[00:17:56.480–00:17:59.480] 今年是沒有了一份分決
[00:17:59.480–00:18:00.480] 如果大家還記得
[00:18:00.480–00:18:02.480] 上年一份叫平衡
[00:18:02.480–00:18:04.480] 身家平衡分家平衡
[00:18:04.480–00:18:05.480] 分副組的分
[00:18:05.480–00:18:07.480] 他們本身還有一份分決
[00:18:07.480–00:18:08.480] 上年放下來做的
[00:18:08.480–00:18:10.480] 今年就沒有了一份分決
[00:18:10.480–00:18:11.480] 然後另外就是
[00:18:11.480–00:18:13.480] 中五營會中央營會
[00:18:13.480–00:18:15.480] 每年都會開他們DSE後的
[00:18:15.480–00:18:17.480] 聲學處學工作
[00:18:17.480–00:18:19.480] 所以鑒於要這樣組
[00:18:19.480–00:18:22.480] 又要有TA上去做分決
[00:18:22.480–00:18:24.480] 又要留下中午有些人有些討論
[00:18:24.480–00:18:26.480] 輾轉反側之後
[00:18:26.480–00:18:28.480] 大概的安排就是這樣
[00:18:28.480–00:18:29.480] 當然讓我舉例
[00:18:29.480–00:18:30.480] 如果大家看到有什麼
[00:18:30.480–00:18:32.480] 可以令事情做得更好
[00:18:32.480–00:18:33.480] 你可以發聲
[00:18:33.480–00:18:35.480] 為什麼班的次序這麼有趣
[00:18:35.480–00:18:37.480] 其實這個是上年他們抽籤的
[00:18:37.480–00:18:38.480] 比賽次序
[00:18:38.480–00:18:40.480] 就是其實中三
[00:18:40.480–00:18:41.480] 我一定不放這個位置
[00:18:41.480–00:18:43.480] 中三隊的比賽次序抽了次序
[00:18:43.480–00:18:44.480] 我就跟著他們的比賽次序
[00:18:44.480–00:18:46.480] 給他們做一個run down
[00:18:46.480–00:18:48.480] 就是錄一個rehearsal
[00:18:48.480–00:18:49.480] 所以你看到有些班
[00:18:49.480–00:18:51.480] 不是順序排的原因
[00:18:51.480–00:18:53.480] 是因為是用抽籤決定
[00:18:53.480–00:18:54.480] 比賽先投次序
[00:18:54.480–00:18:56.480] 這個就是他們比賽先投次序
[00:18:56.480–00:18:58.480] 就是這樣
[00:18:58.480–00:19:00.480] 大家可以拉一拉
[00:19:00.480–00:19:01.480] 拉一拉你的頁
[00:19:01.480–00:19:02.480] 看一看有沒有東西
[00:19:02.480–00:19:03.480] 你都想
[00:19:03.480–00:19:04.480] 電椅位可以這裡這樣
[00:19:04.480–00:19:05.480] 那裡這樣
[00:19:05.480–00:19:07.480] 那我就快點就可以再收拾一下
[00:19:07.480–00:19:08.480] 因為如果不是
[00:19:08.480–00:19:10.480] 其實都
[00:19:10.480–00:19:12.480] 事情開始要恆動
[00:19:12.480–00:19:13.480] 大家因為
[00:19:13.480–00:19:15.480] 學院的民運那邊會給我時間
[00:19:15.480–00:19:17.480] 中午那邊會給我時間
[00:19:17.480–00:19:19.480] 還有下午很多室內的活動
[00:19:19.480–00:19:20.480] 也都給我時間
[00:19:20.480–00:19:21.480] 看看他們冷靜的
[00:19:21.480–00:19:22.480] 怎麼去哪個場
[00:19:22.480–00:19:24.480] 做些文的等等等等
[00:19:24.480–00:19:25.480] 所以現在我們
[00:19:25.480–00:19:26.480] 三十秒鐘
[00:19:26.480–00:19:27.480] 大家看一看
[00:19:27.480–00:19:28.480] 有沒有一些意見
[00:19:28.480–00:19:29.480] 你想講一講
[00:19:29.480–00:19:30.480] 我意料到少一點時間
[00:19:30.480–00:19:31.480] 多一點時間
[00:19:31.480–00:19:32.480] 就是怎樣
[00:19:32.480–00:19:33.480] 有兩頁的
[00:19:33.480–00:19:34.480] 後面那個就是
[00:19:34.480–00:19:36.480] 跟王仔樂廢堂rehearsal的時間
[00:19:40.480–00:19:41.480] 一如以往
[00:19:41.480–00:19:42.480] 都是每班只能用到
[00:19:42.480–00:19:44.480] 三個字的正確答案

